TIME,ENGINE_COOLANT_TEMP
2021-05-19 18:19:17,81.0
2021-05-19 18:19:18,81.0
2021-05-19 18:19:19,81.0
2021-05-19 18:19:20,81.0
2021-05-19 18:19:21,81.0
2021-05-19 18:19:22,81.0
2021-05-19 18:19:23,81.0
2021-05-19 18:19:24,81.0
2021-05-19 18:19:25,81.0
2021-05-19 18:19:26,81.0
2021-05-19 18:19:27,81.0
2021-05-19 18:19:28,81.0
2021-05-19 18:19:29,81.0
2021-05-19 18:19:30,81.0
2021-05-19 18:19:31,81.0
2021-05-19 18:19:32,81.0
2021-05-19 18:19:33,81.0
2021-05-19 18:19:34,81.0
2021-05-19 18:19:35,81.88
2021-05-19 18:19:40,82.0
2021-05-19 18:19:41,82.0
2021-05-19 18:19:42,82.0
2021-05-19 18:19:43,82.0
2021-05-19 18:19:44,82.0
2021-05-19 18:19:45,82.0
2021-05-19 18:19:52,82.0
2021-05-19 18:19:53,82.0
2021-05-19 18:19:54,82.0
2021-05-19 18:19:55,82.0
2021-05-19 18:19:56,82.0
2021-05-19 18:19:57,82.0
2021-05-19 18:19:58,82.0
2021-05-19 18:19:59,82.0
2021-05-19 18:20:00,82.0
2021-05-19 18:20:42,82.0
2021-05-19 18:20:43,82.0
2021-05-19 18:20:44,82.0
2021-05-19 18:20:45,82.0
2021-05-19 18:20:46,82.1
2021-05-19 18:20:47,83.0
2021-05-19 18:20:48,83.0
2021-05-19 18:20:49,82.0
2021-05-19 18:20:50,82.0
2021-05-19 18:20:51,82.8
2021-05-19 18:20:52,83.0
2021-05-19 18:20:53,83.0
2021-05-19 18:20:54,83.0
2021-05-19 18:20:55,83.0
2021-05-19 18:20:56,83.0
2021-05-19 18:20:57,83.0
2021-05-19 18:20:58,83.0
2021-05-19 18:20:59,83.0
2021-05-19 18:21:00,83.0
2021-05-19 18:21:01,83.0
2021-05-19 18:21:02,83.0
2021-05-19 18:21:03,83.0
2021-05-19 18:21:04,83.0
2021-05-19 18:21:05,83.0
2021-05-19 18:21:06,83.0
2021-05-19 18:21:07,83.0
2021-05-19 18:21:08,83.0
2021-05-19 18:21:09,83.0
2021-05-19 18:21:10,83.0
2021-05-19 18:21:11,83.0
2021-05-19 18:21:12,83.0
2021-05-19 18:21:13,83.0
2021-05-19 18:21:14,83.0
2021-05-19 18:21:15,83.0
2021-05-19 18:21:16,83.0
2021-05-19 18:21:17,83.0
2021-05-19 18:21:18,83.0
2021-05-19 18:21:19,83.0
2021-05-19 18:21:20,83.0
2021-05-19 18:21:21,83.0
2021-05-19 18:21:22,83.0
2021-05-19 18:21:23,83.0
2021-05-19 18:21:24,83.0
2021-05-19 18:21:25,83.0
2021-05-19 18:21:26,83.0
2021-05-19 18:21:27,83.0
2021-05-19 18:21:28,83.0
2021-05-19 18:21:29,83.0
2021-05-19 18:21:30,83.0
2021-05-19 18:21:31,83.0
2021-05-19 18:21:32,83.0
2021-05-19 18:21:33,83.0
2021-05-19 18:21:34,83.0
2021-05-19 18:21:35,83.0
2021-05-19 18:21:36,83.0
2021-05-19 18:21:37,83.0
2021-05-19 18:21:38,83.0
2021-05-19 18:21:39,83.0
2021-05-19 18:21:40,83.0
2021-05-19 18:21:41,83.0
2021-05-19 18:21:42,83.0
2021-05-19 18:21:43,83.0
2021-05-19 18:21:44,83.0
2021-05-19 18:21:45,83.0
2021-05-19 18:21:46,83.0
2021-05-19 18:21:47,83.0
2021-05-19 18:21:48,83.0
2021-05-19 18:21:49,83.0
2021-05-19 18:21:50,83.0
2021-05-19 18:21:51,83.0
2021-05-19 18:21:52,83.0
2021-05-19 18:21:53,83.0
2021-05-19 18:21:54,83.0
2021-05-19 18:21:55,83.0
2021-05-19 18:21:56,83.0
2021-05-19 18:21:57,83.0
2021-05-19 18:21:58,83.0
2021-05-19 18:21:59,83.0
2021-05-19 18:22:00,83.0
2021-05-19 18:22:01,83.0
2021-05-19 18:22:02,83.0
2021-05-19 18:22:03,83.0
2021-05-19 18:22:04,83.0
2021-05-19 18:22:05,83.0
2021-05-19 18:22:06,83.0
2021-05-19 18:22:07,83.0
2021-05-19 18:22:08,83.0
2021-05-19 18:22:09,83.0
2021-05-19 18:22:10,83.0
2021-05-19 18:22:11,83.0
2021-05-19 18:22:12,83.0
2021-05-19 18:22:13,83.0
2021-05-19 18:22:14,83.0
2021-05-19 18:22:15,83.0
2021-05-19 18:22:16,83.0
2021-05-19 18:22:17,83.0
2021-05-19 18:22:18,83.0
2021-05-19 18:22:19,83.0
2021-05-19 18:22:20,83.0
2021-05-19 18:22:21,83.0
2021-05-19 18:22:22,83.0
2021-05-19 18:22:23,83.0
2021-05-19 18:22:24,83.0
2021-05-19 18:22:25,83.0
2021-05-19 18:22:26,83.0
2021-05-19 18:22:27,83.0
2021-05-19 18:22:28,83.0
2021-05-19 18:22:29,83.0
2021-05-19 18:22:30,83.0
2021-05-19 18:22:31,83.0
2021-05-19 18:22:32,83.0
2021-05-19 18:22:33,83.0
2021-05-19 18:22:34,83.0
2021-05-19 18:22:35,83.0
2021-05-19 18:22:36,83.0
2021-05-19 18:22:37,83.0
2021-05-19 18:22:38,83.0
2021-05-19 18:22:39,83.0
2021-05-19 18:22:40,83.0
2021-05-19 18:22:41,83.0
2021-05-19 18:22:42,83.0
2021-05-19 18:22:43,83.0
2021-05-19 18:22:44,83.0
2021-05-19 18:22:45,83.0
2021-05-19 18:22:46,83.0
2021-05-19 18:22:47,83.0
2021-05-19 18:22:48,83.0
2021-05-19 18:22:49,83.0
2021-05-19 18:22:50,83.0
2021-05-19 18:22:51,83.0
2021-05-19 18:22:52,83.0
2021-05-19 18:22:53,83.0
2021-05-19 18:22:54,83.0
2021-05-19 18:22:55,83.0
2021-05-19 18:22:56,83.0
2021-05-19 18:22:57,83.0
2021-05-19 18:22:58,83.0
2021-05-19 18:22:59,83.0
2021-05-19 18:23:00,83.0
2021-05-19 18:23:01,83.0
2021-05-19 18:23:02,83.0
2021-05-19 18:23:03,83.0
2021-05-19 18:23:04,83.0
2021-05-19 18:23:05,83.0
2021-05-19 18:23:06,83.0
2021-05-19 18:23:07,83.0
2021-05-19 18:23:08,83.0
2021-05-19 18:23:09,83.0
2021-05-19 18:23:10,83.0
2021-05-19 18:23:11,83.0
2021-05-19 18:23:12,83.0
2021-05-19 18:23:13,83.0
2021-05-19 18:23:14,83.0
2021-05-19 18:23:15,83.0
2021-05-19 18:23:16,83.0
2021-05-19 18:23:17,83.0
2021-05-19 18:23:18,83.0
2021-05-19 18:23:19,83.0
2021-05-19 18:23:20,83.0
2021-05-19 18:23:21,83.0
2021-05-19 18:23:22,83.0
